STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
01466099999,2024-01-22T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"220,1,N,0060,1","99999,9,9,N","999999,9,9,9","+0073,1","+0014,1","09731,1"
01466099999,2024-01-22T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"210,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0037,1","-0004,1","09799,1"
01466099999,2024-01-23T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"220,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0048,1","-0002,1","09823,1"
01466099999,2024-01-23T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"270,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0072,1","-0027,1","09934,1"
01466099999,2024-01-23T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0027,1","-0036,1","10031,2"
01466099999,2024-01-23T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"130,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0011,1","-0022,1","09986,1"
01466099999,2024-01-24T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0006,1","+0006,1","09865,2"
01466099999,2024-01-24T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"330,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0009,1","+0009,1","09830,1"
01466099999,2024-01-24T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0012,1","+0007,1","09887,1"
01466099999,2024-01-24T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0012,1","-0012,1","09975,1"
01466099999,2024-01-25T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0031,1","-0031,1","10084,1"
01466099999,2024-01-25T08:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"330,1,N,0004,1","99999,9,9,9","999999,9,9,9","-0055,1","-0057,1","10158,1"
01466099999,2024-01-25T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0046,1","-0048,1","10167,1"
01466099999,2024-01-25T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0019,1","-0026,1","10193,1"
01466099999,2024-01-25T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0094,1","-0099,1","10205,1"
01466099999,2024-01-26T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0064,1","-0066,1","10159,1"
01466099999,2024-01-26T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"070,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0014,1","-0014,1","10058,1"
01466099999,2024-01-26T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"320,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0003,1","-0003,1","10002,1"
01466099999,2024-01-26T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"290,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0021,1","-0021,1","10102,1"
